8, 8, 27, 125, pa2-unknown-g-calreadings.txt
   11.89,    -1.96, -1499.95
   10.70,    -1.76, -1349.96
   10.95,   148.04, -1500.15
    9.76,   148.23, -1350.16
  161.88,    -1.02, -1498.76
  160.69,    -0.82, -1348.77
  160.94,   148.98, -1498.97
  159.75,   149.18, -1348.97
  108.90,    99.34, -1399.96
  106.16,    98.94, -1149.97
  100.43,   349.19, -1399.65
   97.70,   348.79, -1149.67
  358.74,   107.80, -1397.21
  356.00,   107.40, -1147.23
  350.27,   357.66, -1396.90
  347.54,   357.26, -1146.92
  100.52,   104.09,    96.67
  100.69,   102.32,   222.59
   99.28,    99.04,   351.85
   96.28,   227.66,    98.18
   97.27,   227.43,   225.16
   97.79,   225.65,   354.84
   89.24,   349.68,   102.26
   89.37,   351.23,   226.98
   90.67,   351.59,   352.91
  226.84,   108.79,    98.52
  228.43,   110.10,   223.24
  225.81,   106.58,   349.91
  222.36,   231.50,    99.34
  224.56,   233.85,   224.69
  223.03,   233.24,   352.33
  215.56,   354.61,   101.95
  216.27,   354.75,   227.13
  216.57,   355.56,   354.04
  350.04,   109.74,   100.72
  349.04,   112.28,   224.93
  346.65,   109.77,   350.00
  343.43,   233.90,   100.84
  343.09,   236.94,   224.70
  342.16,   235.70,   350.26
  340.24,   358.39,   101.67
  340.10,   358.94,   226.60
  339.04,   358.62,   352.12
  -13.94,    -5.13, -1499.93
  -12.54,    -4.62, -1349.93
  -12.47,   144.86, -1500.45
  -11.07,   145.37, -1350.46
  136.05,    -6.61, -1501.32
  137.44,    -6.09, -1351.32
  137.52,   143.39, -1501.84
  138.91,   143.90, -1351.85
   90.56,    95.68, -1276.82
   87.58,    98.59, -1026.86
   87.25,   345.64, -1279.76
   84.27,   348.55, -1029.80
  340.52,    99.03, -1273.89
  337.54,   101.93, -1023.92
  337.21,   348.99, -1276.83
  334.23,   351.89, -1026.86
  104.35,   103.43,   222.63
  100.58,   101.37,   351.94
   97.28,    99.77,   478.61
  101.56,   228.48,   223.72
   99.52,   228.03,   353.38
   97.04,   227.61,   480.04
   94.03,   352.02,   224.20
   92.89,   353.85,   350.09
   92.49,   355.33,   475.26
  231.72,   110.40,   225.60
  226.87,   108.25,   352.21
  221.03,   104.48,   478.26
  228.35,   234.20,   225.59
  224.58,   234.89,   353.20
  219.14,   233.47,   480.31
  220.77,   355.10,   226.59
  218.73,   357.20,   353.46
  216.51,   359.08,   479.26
  352.22,   111.94,   229.51
  347.57,   110.78,   354.51
  342.86,   108.30,   480.26
  346.81,   236.68,   227.82
  343.71,   236.72,   353.38
  339.83,   234.89,   479.83
  344.54,   358.73,   228.27
  341.22,   359.72,   353.78
  338.08,   360.64,   479.31
   11.05,   -10.83, -1499.92
    9.95,    -9.75, -1349.93
    9.76,   139.16, -1501.01
    8.65,   140.24, -1351.02
  161.04,    -9.53, -1498.82
  159.94,    -8.44, -1348.83
  159.75,   140.46, -1499.92
  158.64,   141.55, -1349.92
  107.63,    93.17, -1149.32
  102.17,    98.63,  -899.44
  105.41,   343.10, -1154.83
   99.95,   348.56,  -904.95
  357.56,    95.51, -1143.91
  352.10,   100.97,  -894.03
  355.34,   345.44, -1149.42
  349.88,   350.90,  -899.54
  101.82,    99.94,   353.12
   99.41,    99.18,   479.73
   98.07,   100.02,   601.37
  103.88,   226.86,   353.76
  102.00,   227.29,   480.46
   99.77,   228.71,   602.11
  100.10,   352.50,   349.97
  100.39,   354.97,   475.25
  100.70,   357.29,   598.94
  228.01,   103.78,   352.58
  223.12,   100.89,   478.52
  219.24,    98.92,   602.84
  228.64,   230.72,   352.64
  223.96,   230.02,   479.76
  219.28,   228.60,   604.79
  225.69,   353.09,   352.20
  224.14,   355.65,   478.06
  222.43,   357.45,   601.54
  349.05,   103.48,   354.23
  345.12,   102.00,   479.83
  342.18,   101.66,   605.83
  347.73,   229.68,   352.01
  344.74,   228.58,   478.45
  341.18,   227.62,   604.92
  348.07,   352.79,   351.54
  345.70,   354.37,   477.09
  343.77,   356.18,   602.19
    2.61,    -1.43, -1500.00
    2.35,    -1.29, -1350.00
    2.89,   148.57, -1500.14
    2.62,   148.71, -1350.14
  152.61,    -1.71, -1499.74
  152.35,    -1.56, -1349.74
  152.88,   148.29, -1499.88
  152.62,   148.44, -1349.88
  100.98,    98.60, -1024.89
  104.69,   104.07,  -774.98
   95.41,   348.48, -1030.27
   99.12,   353.95,  -780.36
  350.89,   104.09, -1028.73
  354.60,   109.55,  -778.81
  345.32,   353.97, -1034.10
  349.03,   359.43,  -784.19
  100.04,    96.46,   478.97
  102.52,    97.89,   600.67
  105.31,   100.95,   719.40
   99.80,   224.37,   479.23
  101.33,   226.69,   600.90
